"","Data","Tipo.de.Pend̻ncia"
"147",Apr 2017,"Task"
"136",Apr 2017,"Bug"
"155",Apr 2017,"Task"
"143",Apr 2017,"Bug"
"145",Apr 2017,"Bug"
"139",Apr 2017,"Story"
"157",Apr 2017,"Bug"
"137",Apr 2017,"Bug"
"156",Apr 2017,"Task"
"132",Apr 2017,"Story"
"133",Apr 2017,"Bug"
"131",May 2017,"Story"
"138",May 2017,"Task"
"130",May 2017,"Task"
"151",May 2017,"Task"
"153",May 2017,"Task"
"121",May 2017,"Story"
"154",May 2017,"Task"
"146",May 2017,"Bug"
"142",May 2017,"Story"
"144",May 2017,"Story"
"140",May 2017,"Task"
"141",May 2017,"Task"
"148",May 2017,"Task"
"149",May 2017,"Task"
"150",May 2017,"Task"
"152",May 2017,"Task"
"158",May 2017,"Task"
"92",Jun 2017,"Bug"
"86",Jun 2017,"Bug"
"118",Jun 2017,"Story"
"99",Jun 2017,"Bug"
"135",Jun 2017,"Task"
"80",Jun 2017,"Bug"
"85",Jun 2017,"Bug"
"81",Jun 2017,"Bug"
"76",Jun 2017,"Bug"
"78",Jun 2017,"Bug"
"100",Jun 2017,"Bug"
"79",Jun 2017,"Bug"
"72",Jun 2017,"Bug"
"71",Jun 2017,"Bug"
"67",Jun 2017,"Bug"
"68",Jun 2017,"Bug"
"73",Jun 2017,"Story"
"82",Jun 2017,"Story"
"84",Jun 2017,"Story"
"95",Jun 2017,"Story"
"96",Jun 2017,"Story"
"107",Jun 2017,"Story"
"108",Jun 2017,"Story"
"109",Jun 2017,"Story"
"110",Jun 2017,"Story"
"111",Jun 2017,"Story"
"112",Jun 2017,"Story"
"113",Jun 2017,"Story"
"114",Jun 2017,"Story"
"115",Jun 2017,"Story"
"116",Jun 2017,"Story"
"117",Jun 2017,"Story"
"124",Jun 2017,"Story"
"128",Jun 2017,"Story"
"129",Jun 2017,"Story"
"134",Jun 2017,"Story"
"102",Jun 2017,"Bug"
"69",Jun 2017,"Bug"
"83",Jun 2017,"Story"
"98",Jul 2017,"Bug"
"103",Jul 2017,"Bug"
"120",Jul 2017,"Story"
"62",Jul 2017,"Bug"
"101",Jul 2017,"Bug"
"104",Jul 2017,"Bug"
"94",Jul 2017,"Story"
"122",Jul 2017,"Task"
"123",Jul 2017,"Story"
"125",Jul 2017,"Story"
"126",Jul 2017,"Story"
"127",Jul 2017,"Story"
"119",Jul 2017,"Story"
"57",Jul 2017,"Bug"
"88",Jul 2017,"Story"
"46",Jul 2017,"Bug"
"47",Jul 2017,"Bug"
"48",Jul 2017,"Bug"
"87",Jul 2017,"Story"
"93",Jul 2017,"Story"
"91",Jul 2017,"Story"
"61",Jul 2017,"Bug"
"77",Jul 2017,"Story"
"90",Jul 2017,"Story"
"89",Jul 2017,"Story"
"37",Jul 2017,"Bug"
"97",Jul 2017,"Task"
"35",Jul 2017,"Bug"
"33",Jul 2017,"Bug"
"63",Jul 2017,"Story"
"66",Jul 2017,"Story"
"36",Jul 2017,"Bug"
"49",Aug 2017,"Task"
"50",Aug 2017,"Task"
"51",Aug 2017,"Task"
"52",Aug 2017,"Task"
"74",Aug 2017,"Story"
"75",Aug 2017,"Story"
"70",Aug 2017,"Story"
"38",Aug 2017,"Task"
"42",Aug 2017,"Story"
"24",Aug 2017,"Task"
"58",Aug 2017,"Story"
"59",Aug 2017,"Story"
"25",Aug 2017,"Bug"
"44",Aug 2017,"Story"
"45",Aug 2017,"Story"
"60",Aug 2017,"Story"
"20",Aug 2017,"Story"
"18",Aug 2017,"Task"
"34",Aug 2017,"Task"
"53",Aug 2017,"Task"
"54",Aug 2017,"Task"
"55",Aug 2017,"Task"
"56",Aug 2017,"Task"
"15",Aug 2017,"Bug"
"30",Aug 2017,"Story"
"32",Aug 2017,"Story"
"40",Aug 2017,"Story"
"13",Aug 2017,"Bug"
"16",Aug 2017,"Bug"
"19",Aug 2017,"Story"
"28",Aug 2017,"Story"
"29",Aug 2017,"Story"
"39",Aug 2017,"Story"
"41",Aug 2017,"Story"
"43",Aug 2017,"Story"
"27",Aug 2017,"Task"
"105",Aug 2017,"Bug"
"106",Aug 2017,"Bug"
"22",Sep 2017,"Story"
"10",Sep 2017,"Task"
"6",Sep 2017,"Bug"
"17",Sep 2017,"Task"
"4",Sep 2017,"Bug"
"9",Sep 2017,"Story"
"1",Sep 2017,"Task"
"2",Sep 2017,"Task"
"11",Sep 2017,"Task"
"14",Sep 2017,"Task"
"23",Sep 2017,"Task"
"3",Sep 2017,"Bug"
"5",Sep 2017,"Bug"
"21",Sep 2017,"Story"
"64",Sep 2017,"Story"
"12",Sep 2017,"Task"
"8",Sep 2017,"Story"
"31",Sep 2017,"Story"
"7",Sep 2017,"Story"
"26",Sep 2017,"Story"
"65",Sep 2017,"Story"
